"v","r","w"
"{""id"":9,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:10:5"",""location"":""K1.H2"",""terminal"":""10:5"",""id"":""K1.H2-X1:10:5"",""type"":""panel"",""device"":""X1""}}","{""id"":5469,""type"":""conn"",""start"":9,""end"":10,""properties"":{""wire_number"":""57"",""color"":""OG""}}","{""id"":10,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H1-G2-N"",""location"":""K1.H1"",""terminal"":""N"",""id"":""K1.H1-G2-N"",""type"":""panel"",""device"":""G2-""}}"
"{""id"":6579,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:PE:1"",""location"":""K1.H2"",""terminal"":""PE:1"",""id"":""K1.H2-X1:PE:1"",""type"":""panel"",""device"":""X1""}}","{""id"":5471,""type"":""conn"",""start"":6579,""end"":11,""properties"":{""wire_number"":""60"",""color"":""GNYE""}}","{""id"":11,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H1-G2-PE"",""location"":""K1.H1"",""terminal"":""PE"",""id"":""K1.H1-G2-PE"",""type"":""panel"",""device"":""G2-""}}"
"{""id"":13,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H1-G2-PE:PE"",""location"":""K1.H1"",""terminal"":""PE"",""id"":""K1.H1-G2-PE:PE"",""type"":""panel"",""device"":""G2-PE""}}","{""id"":5474,""type"":""conn"",""start"":13,""end"":12,""properties"":{""wire_number"":""61"",""color"":""GNYE""}}","{""id"":12,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:2:2"",""location"":""K1.H2"",""terminal"":""2:2"",""id"":""K1.H2-X6:2:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":12,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:2:2"",""location"":""K1.H2"",""terminal"":""2:2"",""id"":""K1.H2-X6:2:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5473,""type"":""conn"",""start"":12,""end"":13,""properties"":{""wire_number"":""61"",""color"":""GNYE""}}","{""id"":13,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H1-G2-PE:PE"",""location"":""K1.H1"",""terminal"":""PE"",""id"":""K1.H1-G2-PE:PE"",""type"":""panel"",""device"":""G2-PE""}}"
"{""id"":33,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.I1-X1:1"",""location"":""K1.I1"",""terminal"":""1"",""id"":""K1.I1-X1:1"",""type"":""panel"",""device"":""X1""}}","{""id"":5504,""type"":""conn"",""start"":33,""end"":14,""properties"":{""wire_number"":""173"",""color"":""GNYE""}}","{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":32,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X100:3:1"",""location"":""K1.B1"",""terminal"":""3:1"",""id"":""K1.B1-X100:3:1"",""type"":""panel"",""device"":""X100""}}","{""id"":5502,""type"":""conn"",""start"":32,""end"":14,""properties"":{""wire_number"":""172"",""color"":""GNYE""}}","{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":31,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X100:2:1"",""location"":""K1.B1"",""terminal"":""2:1"",""id"":""K1.B1-X100:2:1"",""type"":""panel"",""device"":""X100""}}","{""id"":5500,""type"":""conn"",""start"":31,""end"":14,""properties"":{""wire_number"":""171"",""color"":""GNYE""}}","{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":30,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X100:1:1"",""location"":""K1.B1"",""terminal"":""1:1"",""id"":""K1.B1-X100:1:1"",""type"":""panel"",""device"":""X100""}}","{""id"":5498,""type"":""conn"",""start"":30,""end"":14,""properties"":{""wire_number"":""170"",""color"":""GNYE""}}","{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":25,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X22:PE"",""location"":""K1.H2"",""terminal"":""PE"",""id"":""K1.H2-X22:PE"",""type"":""panel"",""device"":""X22""}}","{""id"":5489,""type"":""conn"",""start"":25,""end"":14,""properties"":{""wire_number"":""146"",""color"":""GNYE""}}","{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":24,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.A1-X21:PE"",""location"":""K1.A1"",""terminal"":""PE"",""id"":""K1.A1-X21:PE"",""type"":""panel"",""device"":""X21""}}","{""id"":5488,""type"":""conn"",""start"":24,""end"":14,""properties"":{""color"":""GNYE"",""wire_number"":""139"",""length"":""3.5 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x0,75 mm?""}}","{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":15,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H1-G2:PE"",""location"":""K1.H1"",""terminal"":""PE"",""id"":""K1.H1-G2:PE"",""type"":""panel"",""device"":""G2""}}","{""id"":5476,""type"":""conn"",""start"":15,""end"":14,""properties"":{""wire_number"":""128"",""color"":""GNYE""}}","{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}"
"{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5475,""type"":""conn"",""start"":14,""end"":15,""properties"":{""wire_number"":""128"",""color"":""GNYE""}}","{""id"":15,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H1-G2:PE"",""location"":""K1.H1"",""terminal"":""PE"",""id"":""K1.H1-G2:PE"",""type"":""panel"",""device"":""G2""}}"
"{""id"":6578,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:1"",""location"":""K1.H2"",""terminal"":""PE:1"",""id"":""K1.H2-X6:PE:1"",""type"":""panel"",""device"":""X6""}}","{""id"":5478,""type"":""conn"",""start"":6578,""end"":16,""properties"":{""wire_number"":""129"",""color"":""GNYE""}}","{""id"":16,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H1-G2:-V'"",""location"":""K1.H1"",""terminal"":""-V'"",""id"":""K1.H1-G2:-V'"",""type"":""panel"",""device"":""G2""}}"
"{""id"":18,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X200:N"",""location"":""K1.B1"",""terminal"":""N"",""id"":""K1.B1-X200:N"",""type"":""panel"",""device"":""X200""}}","{""id"":5480,""type"":""conn"",""start"":18,""end"":17,""properties"":{""wire_number"":""132"",""color"":""BU""}}","{""id"":17,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X5:2:1"",""location"":""K1.H2"",""terminal"":""2:1"",""id"":""K1.H2-X5:2:1"",""type"":""panel"",""device"":""X5""}}"
"{""id"":17,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X5:2:1"",""location"":""K1.H2"",""terminal"":""2:1"",""id"":""K1.H2-X5:2:1"",""type"":""panel"",""device"":""X5""}}","{""id"":5479,""type"":""conn"",""start"":17,""end"":18,""properties"":{""wire_number"":""132"",""color"":""BU""}}","{""id"":18,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X200:N"",""location"":""K1.B1"",""terminal"":""N"",""id"":""K1.B1-X200:N"",""type"":""panel"",""device"":""X200""}}"
"{""id"":20,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X200:PE"",""location"":""K1.B1"",""terminal"":""PE"",""id"":""K1.B1-X200:PE"",""type"":""panel"",""device"":""X200""}}","{""id"":5482,""type"":""conn"",""start"":20,""end"":19,""properties"":{""wire_number"":""133"",""color"":""GNYE""}}","{""id"":19,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:4:1"",""location"":""K1.H2"",""terminal"":""4:1"",""id"":""K1.H2-X6:4:1"",""type"":""panel"",""device"":""X6""}}"
"{""id"":19,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:4:1"",""location"":""K1.H2"",""terminal"":""4:1"",""id"":""K1.H2-X6:4:1"",""type"":""panel"",""device"":""X6""}}","{""id"":5481,""type"":""conn"",""start"":19,""end"":20,""properties"":{""wire_number"":""133"",""color"":""GNYE""}}","{""id"":20,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X200:PE"",""location"":""K1.B1"",""terminal"":""PE"",""id"":""K1.B1-X200:PE"",""type"":""panel"",""device"":""X200""}}"
"{""id"":22,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X22:N"",""location"":""K1.H2"",""terminal"":""N"",""id"":""K1.H2-X22:N"",""type"":""panel"",""device"":""X22""}}","{""id"":5484,""type"":""conn"",""start"":22,""end"":21,""properties"":{""color"":""2"",""wire_number"":""137"",""length"":""3.5 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x0,75 mm?""}}","{""id"":21,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.A1-X21:N"",""location"":""K1.A1"",""terminal"":""N"",""id"":""K1.A1-X21:N"",""type"":""panel"",""device"":""X21""}}"
"{""id"":23,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-F3.1:4/3"",""location"":""K1.H2"",""terminal"":""4/3"",""id"":""K1.H2-F3.1:4/3"",""type"":""panel"",""device"":""F3.1""}}","{""id"":5486,""type"":""conn"",""start"":23,""end"":22,""properties"":{""wire_number"":""138"",""color"":""BU""}}","{""id"":22,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X22:N"",""location"":""K1.H2"",""terminal"":""N"",""id"":""K1.H2-X22:N"",""type"":""panel"",""device"":""X22""}}"
"{""id"":21,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.A1-X21:N"",""location"":""K1.A1"",""terminal"":""N"",""id"":""K1.A1-X21:N"",""type"":""panel"",""device"":""X21""}}","{""id"":5483,""type"":""conn"",""start"":21,""end"":22,""properties"":{""color"":""2"",""wire_number"":""137"",""length"":""3.5 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x0,75 mm?""}}","{""id"":22,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X22:N"",""location"":""K1.H2"",""terminal"":""N"",""id"":""K1.H2-X22:N"",""type"":""panel"",""device"":""X22""}}"
"{""id"":22,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X22:N"",""location"":""K1.H2"",""terminal"":""N"",""id"":""K1.H2-X22:N"",""type"":""panel"",""device"":""X22""}}","{""id"":5485,""type"":""conn"",""start"":22,""end"":23,""properties"":{""wire_number"":""138"",""color"":""BU""}}","{""id"":23,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-F3.1:4/3"",""location"":""K1.H2"",""terminal"":""4/3"",""id"":""K1.H2-F3.1:4/3"",""type"":""panel"",""device"":""F3.1""}}"
"{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5487,""type"":""conn"",""start"":14,""end"":24,""properties"":{""color"":""GNYE"",""wire_number"":""139"",""length"":""3.5 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x0,75 mm?""}}","{""id"":24,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.A1-X21:PE"",""location"":""K1.A1"",""terminal"":""PE"",""id"":""K1.A1-X21:PE"",""type"":""panel"",""device"":""X21""}}"
"{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5490,""type"":""conn"",""start"":14,""end"":25,""properties"":{""wire_number"":""146"",""color"":""GNYE""}}","{""id"":25,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X22:PE"",""location"":""K1.H2"",""terminal"":""PE"",""id"":""K1.H2-X22:PE"",""type"":""panel"",""device"":""X22""}}"
"{""id"":27,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X9:PE:1"",""location"":""K1.B1"",""terminal"":""PE:1"",""id"":""K1.B1-X9:PE:1"",""type"":""panel"",""device"":""X9""}}","{""id"":5492,""type"":""conn"",""start"":27,""end"":26,""properties"":{""color"":""GNYE"",""wire_number"":""163"",""length"":""3.5 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x1,5 mm?""}}","{""id"":26,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.A1-M1:X1:PE"",""location"":""K1.A1"",""terminal"":""X1:PE"",""id"":""K1.A1-M1:X1:PE"",""type"":""panel"",""device"":""M1""}}"
"{""id"":26,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.A1-M1:X1:PE"",""location"":""K1.A1"",""terminal"":""X1:PE"",""id"":""K1.A1-M1:X1:PE"",""type"":""panel"",""device"":""M1""}}","{""id"":5491,""type"":""conn"",""start"":26,""end"":27,""properties"":{""color"":""GNYE"",""wire_number"":""163"",""length"":""3.5 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x1,5 mm?""}}","{""id"":27,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X9:PE:1"",""location"":""K1.B1"",""terminal"":""PE:1"",""id"":""K1.B1-X9:PE:1"",""type"":""panel"",""device"":""X9""}}"
"{""id"":6574,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+S1-W0:PE"",""location"":""S1"",""terminal"":""PE"",""id"":""S1-W0:PE"",""type"":""field"",""device"":""W0""}}","{""id"":5494,""type"":""conn"",""start"":6574,""end"":28,""properties"":{""wire_number"":""168"",""color"":""GNYE""}}","{""id"":28,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+S1.I1-X1:1"",""location"":""S1.I1"",""terminal"":""1"",""id"":""S1.I1-X1:1"",""type"":""field"",""device"":""X1""}}"
"{""id"":6574,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+S1-W0:PE"",""location"":""S1"",""terminal"":""PE"",""id"":""S1-W0:PE"",""type"":""field"",""device"":""W0""}}","{""id"":5496,""type"":""conn"",""start"":6574,""end"":29,""properties"":{""wire_number"":""169"",""color"":""GNYE""}}","{""id"":29,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+S1-X101:1"",""location"":""S1"",""terminal"":""1"",""id"":""S1-X101:1"",""type"":""field"",""device"":""X101""}}"
"{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5497,""type"":""conn"",""start"":14,""end"":30,""properties"":{""wire_number"":""170"",""color"":""GNYE""}}","{""id"":30,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X100:1:1"",""location"":""K1.B1"",""terminal"":""1:1"",""id"":""K1.B1-X100:1:1"",""type"":""panel"",""device"":""X100""}}"
"{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5499,""type"":""conn"",""start"":14,""end"":31,""properties"":{""wire_number"":""171"",""color"":""GNYE""}}","{""id"":31,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X100:2:1"",""location"":""K1.B1"",""terminal"":""2:1"",""id"":""K1.B1-X100:2:1"",""type"":""panel"",""device"":""X100""}}"
"{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5501,""type"":""conn"",""start"":14,""end"":32,""properties"":{""wire_number"":""172"",""color"":""GNYE""}}","{""id"":32,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X100:3:1"",""location"":""K1.B1"",""terminal"":""3:1"",""id"":""K1.B1-X100:3:1"",""type"":""panel"",""device"":""X100""}}"
"{""id"":14,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X6:PE:2"",""location"":""K1.H2"",""terminal"":""PE:2"",""id"":""K1.H2-X6:PE:2"",""type"":""panel"",""device"":""X6""}}","{""id"":5503,""type"":""conn"",""start"":14,""end"":33,""properties"":{""wire_number"":""173"",""color"":""GNYE""}}","{""id"":33,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.I1-X1:1"",""location"":""K1.I1"",""terminal"":""1"",""id"":""K1.I1-X1:1"",""type"":""panel"",""device"":""X1""}}"
"{""id"":35,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.I1-X1:4"",""location"":""K1.I1"",""terminal"":""4"",""id"":""K1.I1-X1:4"",""type"":""panel"",""device"":""X1""}}","{""id"":5506,""type"":""conn"",""start"":35,""end"":34,""properties"":{""wire_number"":""174"",""color"":""BU""}}","{""id"":34,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1-W30:SE"",""location"":""K1"",""terminal"":""SE"",""id"":""K1-W30:SE"",""type"":""field"",""device"":""W30""}}"
"{""id"":34,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1-W30:SE"",""location"":""K1"",""terminal"":""SE"",""id"":""K1-W30:SE"",""type"":""field"",""device"":""W30""}}","{""id"":5505,""type"":""conn"",""start"":34,""end"":35,""properties"":{""wire_number"":""174"",""color"":""BU""}}","{""id"":35,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.I1-X1:4"",""location"":""K1.I1"",""terminal"":""4"",""id"":""K1.I1-X1:4"",""type"":""panel"",""device"":""X1""}}"
"{""id"":38,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.2M:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-X20-X20.2M:7"",""type"":""panel"",""device"":""X20-X20.2M""}}","{""id"":5509,""type"":""conn"",""start"":38,""end"":36,""properties"":{""wire_number"":""199"",""color"":""BN"",""cable_type"":""LIYY 2x0.25""}}","{""id"":36,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+S1-S2"",""location"":""S1"",""terminal"":""S2"",""id"":""S1-S2""}}"
